gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,difference
Zdhhc14,1.83E-06,0.288742229,0.537,0.337,0.046570106,AMG1,0.2
Lrrc75a,4.60E-06,0.512475062,0.277,0.077,0.116857529,AMG3,0.2
Nono,0.000299895,0.3894106,0.319,0.119,1,AMG3,0.2
Rprd1b,0.000312653,0.346585905,0.319,0.119,1,AMG3,0.2
Kpnb1,0.000332728,0.333670297,0.319,0.119,1,AMG3,0.2
Ube2s,4.26E-05,0.553609405,0.298,0.098,1,AMG3,0.2
Prkacb,0.007312705,0.877829675,0.364,0.164,1,Macrophage,0.2
Sgms1,1.98E-09,0.412632047,0.444,0.245,5.04E-05,AMG1,0.199
Plxna4,4.94E-06,0.251002409,0.61,0.411,0.125583903,AMG1,0.199
Parp2,6.25E-06,0.558952844,0.277,0.078,0.158947372,AMG3,0.199
Atm,0.000369048,0.354722019,0.319,0.12,1,AMG3,0.199
Cacna1b,0.000166539,0.741155799,0.269,0.07,1,AMG4,0.199
Cpne8,8.02E-08,1.617794328,0.227,0.028,0.002039565,Macrophage,0.199
Trf,0.00649059,1.139008428,0.455,0.256,1,Macrophage,0.199
Tent5a,0.007072723,0.545292289,0.346,0.147,1,AMG4,0.199
Exoc4,0.000211221,0.740859899,0.809,0.611,1,AMG3,0.198
Cenpa,4.83E-19,0.858048209,0.213,0.015,1.23E-14,AMG3,0.198
Syne2,6.06E-19,0.776362792,0.213,0.015,1.54E-14,AMG3,0.198
Slbp,3.93E-06,0.756498581,0.277,0.079,0.099835594,AMG3,0.198
Brms1l,1.35E-05,0.369346967,0.277,0.079,0.343964562,AMG3,0.198
Myo1c,0.000333247,0.563095098,0.269,0.071,1,AMG4,0.198
5033421B08Rik,1.33E-07,1.264825308,0.227,0.029,0.003369626,Macrophage,0.198
Galnt2,9.75E-05,0.400361034,0.298,0.1,1,AMG3,0.198
Clcn7,0.000124981,0.353547614,0.298,0.1,1,AMG3,0.198
Prrc2b,0.002247146,0.327989254,0.362,0.164,1,AMG3,0.198
Ncoa6,0.008122621,0.287308921,0.404,0.207,1,AMG3,0.197
Lcorl,9.50E-08,0.357563071,0.465,0.268,0.002414949,AMG1,0.197
Arhgap17,2.01E-06,0.257590367,0.519,0.322,0.051108935,AMG1,0.197
Dok5,3.36E-07,0.782850409,0.231,0.034,0.008537674,AMG4,0.197
Atad1,0.00196469,0.791471367,0.308,0.111,1,AMG4,0.197
Gm20404,0.000657955,0.744736082,0.273,0.076,1,Macrophage,0.197
Adam9,0.001826732,1.223698096,0.318,0.121,1,Macrophage,0.197
Abhd2,8.58E-05,0.486417534,0.298,0.101,1,AMG3,0.197
Ctsb,0.009167327,0.626575995,0.731,0.534,1,AMG4,0.197
Mcph1,0.000724721,0.287985754,0.319,0.123,1,AMG3,0.196
Dab2,0.00245926,0.682013509,0.468,0.272,1,AMG3,0.196
Msr1,3.17E-07,1.255570123,0.227,0.031,0.00807046,Macrophage,0.196
Pcnx,0.005739757,0.66440143,0.346,0.15,1,AMG4,0.196
Ppm1h,6.47E-05,0.252037389,0.816,0.62,1,AMG1,0.196
Apbb2,7.12E-08,0.444277119,0.55,0.355,0.00180949,AMG1,0.195
Npl,0.000422799,0.578884767,0.34,0.145,1,AMG3,0.195
Cdk2,5.02E-16,0.642603142,0.213,0.018,1.28E-11,AMG3,0.195
Ulk4,7.87E-07,0.447181657,0.255,0.06,0.020009158,AMG3,0.195
Cmtm4,2.38E-05,0.389248542,0.277,0.082,0.605340093,AMG3,0.195
Hdac1,6.20E-05,0.631118637,0.298,0.103,1,AMG3,0.195
Ywhaq,0.000604611,0.374095132,0.319,0.124,1,AMG3,0.195
Adam19,4.31E-07,1.40946762,0.227,0.032,0.010960882,Macrophage,0.195
Sfxn5,0.000663047,0.936762195,0.273,0.078,1,Macrophage,0.195
Slc25a25,0.000703383,0.586977384,0.362,0.167,1,AMG3,0.195
0610040J01Rik,6.69E-05,0.251645371,0.634,0.44,1,AMG1,0.194
Map4k4,0.000117596,0.258518593,0.623,0.429,1,AMG1,0.194
Stk11,0.000104204,0.459627264,0.298,0.104,1,AMG3,0.194
Taf3,0.004679243,0.345161434,0.383,0.189,1,AMG3,0.194
Gm17268,8.89E-07,1.025053877,0.231,0.037,0.02261117,AMG4,0.194
Ccl2,9.36E-07,0.816194854,0.231,0.037,0.023798708,AMG4,0.194
Tmem219,0.000479726,0.630814432,0.269,0.075,1,AMG4,0.194
Umad1,0.00268948,0.374630756,0.362,0.168,1,AMG3,0.194
Cfl1,0.008108238,0.941291165,0.364,0.17,1,Macrophage,0.194
E230029C05Rik,2.04E-06,0.255716133,0.714,0.52,0.051866789,AMG1,0.194
Tcf4,0.006430347,0.345406514,0.936,0.743,1,AMG3,0.193
Galnt1,1.47E-09,0.418335069,0.383,0.19,3.73E-05,AMG1,0.193
Gpr183,0.008046673,0.398106452,0.447,0.254,1,AMG3,0.193
Trim12a,0.002455323,0.86303453,0.308,0.115,1,AMG4,0.193
Ptma,0.009079066,0.35336588,0.426,0.233,1,AMG3,0.193
Klf12,8.45E-08,0.42320022,0.565,0.372,0.002146941,AMG1,0.193
Pcnt,1.32E-06,0.517635092,0.255,0.063,0.033542102,AMG3,0.192
Sass6,1.50E-06,0.498007298,0.255,0.063,0.038083279,AMG3,0.192
Ppp2r2d,1.53E-05,0.721100081,0.277,0.085,0.387966717,AMG3,0.192
Prpf3,2.45E-05,0.602834078,0.277,0.085,0.622428632,AMG3,0.192
Ctnna1,3.97E-05,0.387519839,0.277,0.085,1,AMG3,0.192
Il16,1.77E-06,1.240283302,0.227,0.035,0.044964138,Macrophage,0.192
Taok2,3.55E-05,0.580429177,0.277,0.086,0.902245284,AMG3,0.191
Snrnp40,3.70E-05,0.478606524,0.277,0.086,0.939846028,AMG3,0.191
Esco2,5.27E-50,0.850050081,0.191,0,1.34E-45,AMG3,0.191
Clspn,5.27E-50,0.825564535,0.191,0,1.34E-45,AMG3,0.191
Hnrnpd,0.007295358,0.320709077,0.383,0.192,1,AMG3,0.191
Cgas,0.0007437,0.538064844,0.269,0.078,1,AMG4,0.191
Rab22a,0.004101922,0.916914117,0.318,0.127,1,Macrophage,0.191
Mettl15,5.86E-05,0.394131209,0.277,0.087,1,AMG3,0.19
Ppm1g,6.01E-05,0.447656462,0.277,0.087,1,AMG3,0.19
Bcas3,9.25E-09,0.393392818,0.439,0.249,0.000235064,AMG1,0.19
Knstrn,9.17E-45,0.916892826,0.191,0.001,2.33E-40,AMG3,0.19
Rrm1,1.62E-13,0.627069614,0.213,0.023,4.11E-09,AMG3,0.19
Txlna,2.38E-06,0.582599632,0.255,0.065,0.06052103,AMG3,0.19
Farp2,3.10E-06,0.392266307,0.255,0.065,0.078851345,AMG3,0.19
Atad1,0.000310859,0.391299958,0.298,0.108,1,AMG3,0.19
Mid1,0.003023375,0.444035145,0.362,0.172,1,AMG3,0.19
AB124611,3.14E-06,1.195520304,0.227,0.037,0.079843742,Macrophage,0.19
Dhfr,1.17E-40,0.898572926,0.191,0.002,2.98E-36,AMG3,0.189
Gm47207,1.44E-40,0.858056239,0.191,0.002,3.67E-36,AMG3,0.189
Cbwd1,1.69E-06,0.712799379,0.255,0.066,0.042921216,AMG3,0.189
Kmt5a,2.65E-06,0.664596259,0.255,0.066,0.06741946,AMG3,0.189
Slc25a37,0.004460639,0.319511201,0.362,0.173,1,AMG3,0.189
Gpr84,0.000549014,0.742586386,0.269,0.08,1,AMG4,0.189
Lbr,7.71E-06,0.867061869,0.227,0.038,0.196070572,Macrophage,0.189
Smagp,0.000945313,1.063670134,0.273,0.084,1,Macrophage,0.189
Tmcc1,0.003920593,1.196526217,0.591,0.402,1,Macrophage,0.189
Xylt1,0.002363341,0.299095109,0.34,0.152,1,AMG3,0.188
Asf1b,4.27E-37,0.757848964,0.191,0.003,1.09E-32,AMG3,0.188
Chaf1a,6.11E-34,0.750991505,0.191,0.003,1.55E-29,AMG3,0.188
Coro1c,0.000639498,0.51162294,0.319,0.131,1,AMG3,0.188
Arhgap21,0.001552686,0.264688215,0.319,0.131,1,AMG3,0.188
Elf4,0.008155435,0.284536714,0.383,0.195,1,AMG3,0.188
Themis2,0.000958781,0.625886308,0.269,0.081,1,AMG4,0.188
Gm15738,1.26E-05,1.000804338,0.227,0.039,0.319251819,Macrophage,0.188
Fchsd2,6.79E-07,0.375499558,0.792,0.605,0.017260436,AMG1,0.187
Tmem135,5.26E-05,0.257359729,0.665,0.478,1,AMG1,0.187
Prpf8,0.000148854,0.305037221,0.277,0.09,1,AMG3,0.187
Zfp326,0.002689049,0.348098073,0.34,0.153,1,AMG3,0.187
Mprip,0.004175416,0.260096008,0.34,0.153,1,AMG3,0.187
Pde4d,3.70E-06,0.342576647,0.628,0.441,0.094053689,AMG1,0.187
Arhgap22,4.72E-05,0.297942716,0.623,0.436,1,AMG1,0.187
Tacc3,2.23E-31,0.731679727,0.191,0.004,5.67E-27,AMG3,0.187
Hmgb2,3.63E-12,0.946999959,0.213,0.026,9.22E-08,AMG3,0.187
Trmt2b,9.33E-08,0.49901304,0.234,0.047,0.002372273,AMG3,0.187
Laptm4a,0.003367571,0.427465867,0.362,0.175,1,AMG3,0.187
Trim14,0.000720702,1.008757358,0.269,0.082,1,AMG4,0.187
Tgfa,0.004983995,0.616967483,0.308,0.121,1,AMG4,0.187
Pdcd6ip,0.008329652,0.865121061,0.364,0.177,1,Macrophage,0.187
Os9,0.008842638,0.712539649,0.318,0.131,1,Macrophage,0.187
Peak1,4.32E-08,0.498390225,0.485,0.299,0.001099046,AMG1,0.186
Bbs9,1.13E-07,0.347602352,0.435,0.249,0.002861016,AMG1,0.186
Rasgrp3,4.28E-06,0.347657522,0.608,0.422,0.108717682,AMG1,0.186
Stard9,6.65E-06,0.270554312,0.489,0.303,0.169039471,AMG1,0.186
Arhgap32,0.000961477,0.439049157,0.319,0.133,1,AMG3,0.186
Phf11b,4.68E-21,1.167757811,0.192,0.006,1.19E-16,AMG4,0.186
Ndufa6,0.009290747,0.465523407,0.308,0.122,1,AMG4,0.186
Prr5l,0.000113896,0.457713651,0.277,0.092,1,AMG3,0.185
Herc3,0.00380977,0.286731657,0.34,0.155,1,AMG3,0.185
Ncoa7,0.00216618,0.83090237,0.273,0.088,1,Macrophage,0.185
Itpkb,1.49E-06,0.269630618,0.455,0.27,0.038003487,AMG1,0.185
Myo1f,0.000131822,0.268405592,0.619,0.434,1,AMG1,0.185
H2-T24,1.78E-05,0.919615462,0.231,0.046,0.453174429,AMG4,0.185
Rhbdd1,0.000964785,0.729447567,0.269,0.084,1,AMG4,0.185
Dcp1a,0.001176946,0.678040411,0.269,0.084,1,AMG4,0.185
Kcnq1ot1,5.35E-08,0.4325779,0.433,0.249,0.001360899,AMG1,0.184
Sik3,2.68E-07,0.341447488,0.45,0.266,0.006802631,AMG1,0.184
Ncaph,2.16E-25,0.716488153,0.191,0.007,5.49E-21,AMG3,0.184
Agtpbp1,0.00142122,0.416095729,0.319,0.135,1,AMG3,0.184
Dhx36,0.007096123,0.362676924,0.362,0.178,1,AMG3,0.184
Shisa4,4.66E-05,0.861059772,0.227,0.043,1,Macrophage,0.184
Odf2l,3.77E-07,0.507972151,0.234,0.051,0.009591799,AMG3,0.183
Mettl16,0.000273705,0.302715118,0.277,0.094,1,AMG3,0.183
Smarca5,0.005517061,0.284174231,0.34,0.157,1,AMG3,0.183
Chn2,4.76E-06,0.324836142,0.63,0.447,0.121126668,AMG1,0.183
Fndc3b,1.64E-05,0.285111162,0.522,0.339,0.418077535,AMG1,0.183
Atr,0.000369484,0.623489498,0.298,0.115,1,AMG3,0.183
Pclaf,1.48E-22,0.786256276,0.191,0.009,3.75E-18,AMG3,0.182
Secisbp2,0.000630714,0.421113469,0.298,0.116,1,AMG3,0.182
Fip1l1,0.006262939,0.34838088,0.362,0.18,1,AMG3,0.182
Ms4a14,2.32E-48,1.364261797,0.182,0,5.91E-44,Macrophage,0.182
Fpr1,2.32E-48,1.270010303,0.182,0,5.91E-44,Macrophage,0.182
Lyve1,2.32E-48,1.145018464,0.182,0,5.91E-44,Macrophage,0.182
Bcl7a,8.43E-07,0.521158733,0.234,0.053,0.02143705,AMG3,0.181
Cramp1l,0.002295356,0.481148688,0.34,0.159,1,AMG3,0.181
5430427M07Rik,2.26E-21,0.786055913,0.191,0.01,5.75E-17,AMG3,0.181
Ncapg2,2.44E-21,0.682676189,0.191,0.01,6.19E-17,AMG3,0.181
Radx,2.87E-20,0.768814695,0.191,0.01,7.29E-16,AMG3,0.181
Wdr90,3.74E-20,0.672713041,0.191,0.01,9.50E-16,AMG3,0.181
Zfp367,9.76E-10,0.704023987,0.213,0.032,2.48E-05,AMG3,0.181
R3hcc1l,0.009948135,0.398885473,0.383,0.202,1,AMG3,0.181
Tmpo,0.005632366,0.776240633,0.308,0.127,1,AMG4,0.181
Tlr8,8.77E-39,1.358356503,0.182,0.001,2.23E-34,Macrophage,0.181
Pde8a,5.54E-07,0.864792183,0.234,0.054,0.014082784,AMG3,0.18
Cd200r1,0.004866587,1.016351127,0.273,0.093,1,Macrophage,0.18
Anxa3,7.80E-06,0.278527424,0.515,0.335,0.198318527,AMG1,0.18
Adam9,0.000486272,0.521939253,0.298,0.118,1,AMG3,0.18
Nploc4,0.001793897,0.405230166,0.319,0.139,1,AMG3,0.18
Srbd1,0.002138656,0.355618612,0.319,0.139,1,AMG3,0.18
Morc2a,0.002745834,0.328031874,0.319,0.139,1,AMG3,0.18
Resf1,0.005738127,0.477652534,0.383,0.203,1,AMG3,0.18
B3galnt1,8.91E-05,1.038964374,0.227,0.047,1,Macrophage,0.18
Nfatc2,0.009552673,0.808292998,0.318,0.138,1,Macrophage,0.18
Tbc1d22a,1.37E-06,0.398562222,0.576,0.396,0.03477582,AMG1,0.18
Prkn,8.10E-06,0.273207637,0.567,0.387,0.206043819,AMG1,0.18
Creb5,7.73E-05,0.824496677,0.231,0.052,1,AMG4,0.179
Slc38a9,9.95E-07,0.280495742,0.424,0.245,0.025293776,AMG1,0.179
Suv39h1,3.55E-18,0.583606865,0.191,0.012,9.02E-14,AMG3,0.179
Gm4890,2.66E-09,0.66090388,0.213,0.034,6.76E-05,AMG3,0.179
Actn4,0.000756436,0.453521672,0.298,0.119,1,AMG3,0.179
Slc12a9,0.008965667,0.629191752,0.308,0.129,1,AMG4,0.179
Cmah,9.89E-28,1.057704386,0.182,0.003,2.51E-23,Macrophage,0.179
Serpinb8,2.38E-24,1.388807721,0.182,0.003,6.04E-20,Macrophage,0.179
B230219D22Rik,0.005938538,0.32685329,0.34,0.162,1,AMG3,0.178
Parp12,0.000104122,0.860431559,0.231,0.053,1,AMG4,0.178
Trhde,0.000112385,0.806203364,0.231,0.053,1,AMG4,0.178
E130102H24Rik,0.003128413,0.554343951,0.269,0.091,1,AMG4,0.178
Iqgap1,0.003164905,1.263632104,0.273,0.095,1,Macrophage,0.178
Jazf1,3.05E-05,0.588689373,0.255,0.077,0.775010634,AMG3,0.178
Cdc123,0.001089921,0.436936457,0.298,0.12,1,AMG3,0.178
Blvrb,0.000199074,0.762977825,0.227,0.049,1,Macrophage,0.178
Apaf1,0.002038784,0.414122406,0.319,0.142,1,AMG3,0.177
Zeb1,3.23E-06,0.361815856,0.61,0.433,0.082024208,AMG1,0.177
Polh,1.10E-08,0.456263036,0.213,0.036,0.000280299,AMG3,0.177
Tbc1d31,0.001000464,0.390709714,0.298,0.121,1,AMG3,0.177
Prrc2a,0.001672964,0.317202629,0.298,0.121,1,AMG3,0.177
Kctd3,0.000190059,0.916173162,0.227,0.05,1,Macrophage,0.177
Tpm4,2.07E-06,0.690535466,0.234,0.058,0.052605059,AMG3,0.176
Cep135,6.03E-06,0.483495817,0.234,0.058,0.153276879,AMG3,0.176
Paxip1,0.000197433,0.66853481,0.231,0.055,1,AMG4,0.176
Trnt1,0.000229472,0.537415647,0.231,0.055,1,AMG4,0.176
Nrros,1.08E-05,0.310037511,0.515,0.339,0.275435954,AMG1,0.176
Prpf4,1.35E-08,0.548002243,0.213,0.037,0.00034436,AMG3,0.176
Nup160,3.50E-05,0.659008521,0.255,0.079,0.889418452,AMG3,0.176
10-Sep,6.72E-05,0.50633677,0.255,0.079,1,AMG3,0.176
Nop56,0.000125016,0.324563397,0.255,0.079,1,AMG3,0.176
St7,0.001105393,0.439020835,0.298,0.122,1,AMG3,0.176
Samhd1,0.00920017,0.591672348,0.308,0.132,1,AMG4,0.176
Hpf1,0.009449536,0.692554345,0.308,0.132,1,AMG4,0.176
Snx24,4.70E-06,0.346141391,0.706,0.53,0.119358915,AMG1,0.176
Taf1,0.000308682,0.616892898,0.277,0.102,1,AMG3,0.175
Sema4a,0.00020634,1.179277893,0.227,0.052,1,Macrophage,0.175
A230056P14Rik,0.000385891,0.909202668,0.227,0.053,1,Macrophage,0.174
Mcm9,6.46E-05,0.642020679,0.255,0.081,1,AMG3,0.174
Cux1,0.000578415,0.6095208,0.851,0.677,1,AMG3,0.174
B4galt1,4.78E-05,0.315190521,0.539,0.366,1,AMG1,0.173
Ppp2r3a,0.003142999,0.507140976,0.34,0.167,1,AMG3,0.173
Far1os,0.004601792,0.595900954,0.34,0.167,1,AMG3,0.173
Trim30c,4.68E-09,0.808944579,0.192,0.019,0.000118915,AMG4,0.173
Mpp1,0.000382244,0.932643753,0.227,0.054,1,Macrophage,0.173
Slc7a15,5.80E-14,1.216589411,0.182,0.009,1.48E-09,Macrophage,0.173
Ttll5,0.000569743,0.449625348,0.277,0.105,1,AMG3,0.172
Aifm1,1.08E-05,0.568207955,0.234,0.062,0.275816028,AMG3,0.172
Tg,0.004503536,0.352425654,0.319,0.147,1,AMG3,0.172
Mrs2,0.000453754,0.586461176,0.231,0.059,1,AMG4,0.172
Calcrl,0.000583895,0.878009554,0.227,0.055,1,Macrophage,0.172
Cflar,4.08E-05,0.265974604,0.58,0.408,1,AMG1,0.172
Strn4,0.001589772,0.437424533,0.298,0.126,1,AMG3,0.172
Fbxl2,0.001729545,0.440208963,0.298,0.126,1,AMG3,0.172
Srp72,0.000568729,0.582073535,0.277,0.106,1,AMG3,0.171
Ddx11,1.03E-12,0.745100427,0.191,0.02,2.63E-08,AMG3,0.171
Gins1,1.58E-12,0.721310349,0.191,0.02,4.02E-08,AMG3,0.171
Dck,2.17E-12,0.559041093,0.191,0.02,5.51E-08,AMG3,0.171
Mrpl48,2.07E-05,0.40130455,0.234,0.063,0.525935752,AMG3,0.171
Ube2l3,0.007590484,0.37395301,0.34,0.169,1,AMG3,0.171
Nampt,0.000422238,0.730214354,0.231,0.06,1,AMG4,0.171
Wdr47,0.000547293,0.659909032,0.231,0.06,1,AMG4,0.171
Fubp3,0.004963805,0.622012409,0.269,0.098,1,AMG4,0.171
Tsc22d2,1.51E-05,0.274298376,0.472,0.301,0.384342216,AMG1,0.171
Eftud2,0.00018025,0.405638647,0.255,0.084,1,AMG3,0.171
Ppp1cc,0.002585461,0.345376308,0.298,0.127,1,AMG3,0.171
Rpl7,0.003534914,0.284966764,0.298,0.127,1,AMG3,0.171
Tbxas1,0.009679854,0.787349815,0.636,0.465,1,Macrophage,0.171
Mbp,0.001156217,0.347531759,0.277,0.107,1,AMG3,0.17
Mtbp,5.79E-12,0.588452892,0.191,0.021,1.47E-07,AMG3,0.17
Cars2,1.71E-05,0.502095511,0.234,0.064,0.435304679,AMG3,0.17
Tbc1d1,0.006853393,0.449156658,0.34,0.17,1,AMG3,0.17
Tmem104,0.007066512,0.265350853,0.319,0.149,1,AMG3,0.17
Arhgap10,0.000533861,1.068412503,0.227,0.057,1,Macrophage,0.17
Dynlt1a,0.000553705,0.957707987,0.227,0.057,1,Macrophage,0.17
Gdpd1,0.000582318,1.021388988,0.227,0.057,1,Macrophage,0.17
Hdac8,9.50E-08,0.327279112,0.368,0.198,0.00241419,AMG1,0.17
Cep85,0.000176304,0.372705064,0.255,0.085,1,AMG3,0.17
Diaph1,0.000260813,0.35466248,0.255,0.085,1,AMG3,0.17
Sin3a,0.002944504,0.341744822,0.298,0.128,1,AMG3,0.17
Fxyd5,8.83E-11,0.910993511,0.182,0.012,2.25E-06,Macrophage,0.17
Cux1,2.45E-05,0.378671396,0.788,0.619,0.62208253,AMG1,0.169
Cryzl1,0.00059996,0.538834964,0.277,0.108,1,AMG3,0.169
Scaper,1.23E-08,0.361866254,0.338,0.169,0.000313229,AMG1,0.169
Shcbp1,1.61E-39,0.836457119,0.17,0.001,4.08E-35,AMG3,0.169
Hmmr,1.87E-39,1.088903005,0.17,0.001,4.75E-35,AMG3,0.169
Dapk1,0.0072322,0.259835159,0.319,0.15,1,AMG3,0.169
G3bp1,0.009290356,0.35714148,0.34,0.171,1,AMG3,0.169
Rrp1b,0.000610569,0.715356116,0.231,0.062,1,AMG4,0.169
Cux2,0.000880439,0.553603828,0.231,0.062,1,AMG4,0.169
Sp4,0.009230873,0.421503671,0.269,0.1,1,AMG4,0.169
Tle1,5.15E-07,0.453373101,0.213,0.044,0.013104815,AMG3,0.169
Uty,4.93E-06,0.333646815,0.459,0.291,0.125358921,AMG1,0.168
Ap1s2,0.000491789,0.631798385,0.277,0.109,1,AMG3,0.168
Foxm1,2.76E-35,0.729107295,0.17,0.002,7.01E-31,AMG3,0.168
Zfp217,0.000328259,0.405441852,0.255,0.087,1,AMG3,0.168
Shq1,5.12E-07,0.753102485,0.213,0.045,0.013026833,AMG3,0.168
Ipo9,0.001796751,0.47821565,0.298,0.13,1,AMG3,0.168
Ing4,0.004518096,0.278937776,0.298,0.13,1,AMG3,0.168
Ppm1b,0.008604886,0.47189655,0.362,0.194,1,AMG3,0.168
Pikfyve,0.009349336,0.554772064,0.362,0.194,1,AMG3,0.168
Prkcb,0.009309861,0.35100778,0.723,0.555,1,AMG3,0.168
Pde6d,4.04E-05,0.467004965,0.234,0.067,1,AMG3,0.167
Tex2,0.000198646,0.695501892,0.255,0.088,1,AMG3,0.167
Atp10a,0.00109247,0.594593346,0.231,0.064,1,AMG4,0.167
Kazn,0.000941617,0.981989879,0.298,0.131,1,AMG3,0.167
Med21,0.004410017,0.282922262,0.298,0.131,1,AMG3,0.167
Ccl9,1.93E-09,1.466924853,0.182,0.015,4.90E-05,Macrophage,0.167
Vcam1,3.13E-09,1.460456458,0.182,0.015,7.97E-05,Macrophage,0.167
Eif2ak3,0.001949539,0.293861355,0.277,0.111,1,AMG3,0.166
Rragc,0.006935765,0.607012319,0.269,0.103,1,AMG4,0.166
Cchcr1,8.54E-27,0.825012252,0.17,0.004,2.17E-22,AMG3,0.166
Cdt1,2.94E-10,0.706919577,0.191,0.025,7.49E-06,AMG3,0.166
Cdc7,3.41E-10,0.638958413,0.191,0.025,8.66E-06,AMG3,0.166
Pot1b,0.000483568,0.356934398,0.255,0.089,1,AMG3,0.166
Mfsd11,0.005868666,0.462944455,0.319,0.153,1,AMG3,0.166
Sash1,8.98E-07,0.666745116,0.192,0.026,0.022818709,AMG4,0.166
Lta4h,0.001323264,0.903418535,0.227,0.061,1,Macrophage,0.166
Cxxc5,0.007616498,0.470319454,0.362,0.196,1,AMG3,0.166
Spats2l,1.65E-08,1.086629871,0.182,0.016,0.000420359,Macrophage,0.166
Abca9,0.008340067,0.893490211,0.591,0.425,1,Macrophage,0.166
Inpp4b,4.51E-06,0.313053231,0.814,0.648,0.114570543,AMG1,0.166
Rab20,0.000813758,0.609726457,0.277,0.112,1,AMG3,0.165
Nap1l4,0.00234909,0.293379981,0.277,0.112,1,AMG3,0.165
Ago2,0.007772578,0.535031002,0.34,0.175,1,AMG3,0.165
Tgoln1,0.007031878,0.620025182,0.269,0.104,1,AMG4,0.165
Rps5,0.007476869,0.630841724,0.269,0.104,1,AMG4,0.165
Ssbp3,0.009094265,1.006576965,0.273,0.108,1,Macrophage,0.165
D530033B14Rik,0.000268218,0.588404915,0.255,0.09,1,AMG3,0.165
Fancl,0.000344539,0.512581886,0.255,0.09,1,AMG3,0.165
Gm48765,0.000638141,0.280522112,0.255,0.09,1,AMG3,0.165
Cenpn,5.34E-23,0.680438534,0.17,0.006,1.36E-18,AMG3,0.164
Orc6,2.05E-09,0.427055985,0.191,0.027,5.22E-05,AMG3,0.164
Rilpl2,2.13E-09,0.478143132,0.191,0.027,5.42E-05,AMG3,0.164
Srgn,0.004944078,0.73978359,0.383,0.219,1,AMG3,0.164
Cep57l1,0.001293908,0.657345944,0.231,0.067,1,AMG4,0.164
Rhobtb2,0.002110645,0.702237082,0.227,0.063,1,Macrophage,0.164
Cbl,9.34E-06,0.287783086,0.457,0.294,0.23734683,AMG1,0.163
Ssbp2,1.27E-05,0.295587626,0.459,0.296,0.323256686,AMG1,0.163
Rab11fip3,0.000539882,0.543215368,0.255,0.092,1,AMG3,0.163
Lgals9,0.008378477,0.66570934,0.383,0.22,1,AMG3,0.163
2010013B24Rik,0.00205372,0.503409683,0.231,0.068,1,AMG4,0.163
Ankrd27,3.44E-06,0.550291622,0.213,0.05,0.087349127,AMG3,0.163
Atl2,0.000133071,0.391532139,0.234,0.072,1,AMG3,0.162
Nup155,3.02E-06,0.803640427,0.213,0.051,0.076691125,AMG3,0.162
Lin9,6.30E-06,0.423083352,0.213,0.051,0.160198457,AMG3,0.162
Hmgb2,5.99E-06,0.70253057,0.192,0.03,0.152172281,AMG4,0.162
Rabl3,3.01E-07,1.109672598,0.182,0.02,0.007644429,Macrophage,0.162
Sun2,0.000142369,0.4483278,0.234,0.073,1,AMG3,0.161
Brd3,0.000183951,0.375183788,0.234,0.073,1,AMG3,0.161
Herpud2,0.009446406,1.094532756,0.273,0.112,1,Macrophage,0.161
Parp14,0.009745024,1.064444393,0.273,0.112,1,Macrophage,0.161
Gm48228,1.15E-08,0.538304864,0.191,0.03,0.000293061,AMG3,0.161
Zfp697,0.007447259,0.36006537,0.319,0.158,1,AMG3,0.161
Nod1,8.72E-06,0.713493127,0.192,0.031,0.221570608,AMG4,0.161
Fam160a2,0.002440876,0.768305225,0.227,0.066,1,Macrophage,0.161
Clcn5,0.002930708,0.432665705,0.277,0.117,1,AMG3,0.16
Fem1b,0.003095508,0.512173936,0.231,0.071,1,AMG4,0.16
Gtf2ird2,0.006635218,0.819503879,0.269,0.109,1,AMG4,0.16
4930402H24Rik,0.00862657,1.127862717,0.273,0.113,1,Macrophage,0.16
Arhgap31,6.32E-07,0.397582686,0.374,0.214,0.01607472,AMG1,0.16
Nlrp1b,9.91E-07,0.338790114,0.39,0.23,0.025181993,AMG1,0.16
9430015G10Rik,2.61E-08,0.556627896,0.191,0.031,0.000662491,AMG3,0.16
Cenpf,7.67E-06,0.848220998,0.213,0.053,0.194981793,AMG3,0.16
Zcwpw1,1.03E-05,0.630392006,0.213,0.053,0.261554189,AMG3,0.16
Gm36198,0.000691346,0.461194951,0.255,0.095,1,AMG3,0.16
Por,0.00080174,0.523673351,0.255,0.095,1,AMG3,0.16
Nup153,0.009095769,0.347035573,0.319,0.159,1,AMG3,0.16
Fbxo34,0.004478899,0.408935232,0.298,0.138,1,AMG3,0.16
Dock7,1.05E-07,0.344880859,0.338,0.179,0.002661902,AMG1,0.159
Etfa,0.000216793,0.386664836,0.234,0.075,1,AMG3,0.159
Senp1,0.003056553,0.393129416,0.277,0.118,1,AMG3,0.159
Hpcal4,0.002531855,0.690018078,0.231,0.072,1,AMG4,0.159
Wbp1l,3.61E-09,0.377019605,0.301,0.142,9.17E-05,AMG1,0.159
Arhgap11a,4.12E-08,0.620566814,0.191,0.032,0.001047944,AMG3,0.159
A630089N07Rik,0.001044385,0.342225239,0.255,0.096,1,AMG3,0.159
Nop58,0.001189698,0.27183158,0.255,0.096,1,AMG3,0.159
Oma1,4.37E-10,0.417684473,0.273,0.115,1.11E-05,AMG1,0.158
